Time,CRate,e_CRate
17278.6519998685,0.0,0.0
17288.6519996915,0.0,0.0
17298.6519995145,0.0,0.0
17308.6519999662,0.1,0.1
17318.6519997893,0.0,0.0
17328.6519996123,0.1,0.1
17338.652000064,0.0,0.0
17348.6519998871,0.0,0.0
17358.6519997101,0.0,0.0
17368.6519995332,0.0,0.0
17378.6519999849,0.0,0.0
17388.6519998079,0.0,0.0
17398.651999631,0.0,0.0
17408.6520000827,0.0,0.0
17418.6519999057,0.1,0.1
17428.6519997288,0.1,0.1
17438.6519995518,0.0,0.0
17448.6520000035,0.0,0.0
17458.6519998265,0.0,0.0
17468.6519996496,0.1,0.1
17478.6520001013,0.0,0.0
17488.6519999243,0.0,0.0
17498.6519997474,0.0,0.0
17508.6519995704,0.0,0.0
