Time,Flux,e_Flux
-1842.3164329,0.5148392064,0.0216166993
-1841.8164796,0.5085594364,0.0214293834
-1841.3165282,0.4824776328,0.02134874
-1840.8165756,0.5245708642,0.0219312495
-1840.3166235,0.5403682594,0.0220670627
-1839.8166715,0.6487917866,0.0245095955
-1839.3167195,0.6302203582,0.0234256187
-1838.8167668,0.5786442787,0.0222362111
-1838.3168142,0.5363832233,0.0221858066
-1837.8168622,0.6068908535,0.022240904
-1837.3169095,0.6621514711,0.0235501254
-1836.8169575,0.5804825256,0.0222874404
-1836.3170061,0.5315238762,0.0214911588
-1835.8170534,0.6026364571,0.0237763112
-1835.3171001,0.5760311242,0.0222491074
-1834.8171487,0.5693484264,0.0222383966
-1834.3171961,0.5906575589,0.022564477
-1833.8172428,0.7025375668,0.0247453159
-1833.3172914,0.6537911044,0.023714972
-1832.8173388,0.6133414893,0.023173254
-1832.3173867,0.5976381398,0.0227995336
-1831.8174347,0.5329694089,0.0223039816
-1831.317482,0.5212491697,0.0222204945
-1830.81753,0.5435061712,0.0214957378
-1830.3175774,0.5350407407,0.022226893
-1829.8176253,0.586130705,0.0231300536
-1829.3176727,0.5834647792,0.0224352853
-1828.8177207,0.5762791011,0.0222717948
-1828.3177693,0.5664597201,0.022625327
-1827.817816,0.6122714114,0.0226383582
-1827.3178633,0.5842140163,0.0224408566
-1826.8179119,0.6142450801,0.0232569778
-1826.3179586,0.6312890892,0.0228956782
-1825.818006,0.6046321739,0.0229347786
-1825.3180546,0.492491794,0.0205386306
-1821.2024475,0.5148631745,0.0214083773
-1820.7024949,0.5693124205,0.0220629909
-1820.2025416,0.4867893762,0.0212944115
-1819.7025902,0.5280454341,0.0210649569
-1819.2026375,0.5008608819,0.0215901812
-1818.7026855,0.4798302881,0.021530746
-1818.2027335,0.5078260351,0.0216053773
-1817.7027808,0.4886559094,0.0212815502
-1817.2028288,0.4291811327,0.0200155235
-1816.7028768,0.5220189218,0.0218196002
-1816.2029241,0.5499923005,0.0221471556
-1815.7029715,0.4858052293,0.0222830979
-1815.2030194,0.4661436331,0.0207302218
-1814.703068,0.4964951439,0.0223594492
-1814.2031154,0.4935835575,0.0210371385
-1813.7031621,0.5430819304,0.0228652987
-1813.2032107,0.5066604886,0.0214421805
-1812.7032581,0.5234013647,0.020936375
-1812.2033048,0.5387852804,0.0219283879
-1811.7033534,0.5772046422,0.022521185
-1811.2034001,0.5328388131,0.0214283865
-1810.7034487,0.5299328255,0.0212162182
-1810.2034967,0.56602154,0.0223280618
-1809.703544,0.5283651011,0.02150148
-1809.203592,0.5461487644,0.021979272
-1808.70364,0.6055335715,0.0227302535
-1808.2036873,0.6391314989,0.0238580325
-1807.7037347,0.708746808,0.0244424534
-1807.2037826,0.6108076624,0.0220858496
-1806.7038312,0.7082358873,0.0243101183
-1806.2038779,0.6852387521,0.0242811231
-1805.7039265,0.678258905,0.0234594803
-1805.2039739,0.6513693177,0.0238092484
-1804.7040206,0.6778634357,0.0251847585
-1804.2040692,0.7050480257,0.0250358913
-1803.7041166,0.697810009,0.024912574
-1803.2041633,0.5999449907,0.0236800157
-1802.7042119,0.6143805177,0.0239843135
-1802.2042599,0.5940196665,0.0228787296
-1801.7043072,0.5030751378,0.0212606933
-1801.2043552,0.4891261303,0.0210355193
-1800.7044031,0.492599953,0.0206528941
-1800.2044505,0.456779961,0.0207110661
-1799.7044978,0.4813110741,0.0204765082
-1799.2045458,0.5047429165,0.0205555205
-1798.7045938,0.4651652689,0.0205864108
-1798.2046411,0.4939049206,0.020617314
-1797.7046897,0.522660332,0.0220692631
-1797.2047365,0.5474388102,0.0222820095
-1796.7047838,0.6009528791,0.0230086583
-1796.2048324,0.5649526313,0.0222396532
-1795.7048791,0.550712583,0.0220322114
-1795.2049265,0.5195574262,0.0209454418
-1794.7049751,0.4715329555,0.0210012539
-1794.205023,0.4981096061,0.0213860998
-1793.7050704,0.4889444297,0.0212580752
-1793.2051184,0.6250075311,0.023307761
-1792.7051663,0.5974701809,0.0229731953
-1792.2052131,0.4840805288,0.0213525234
-1791.705261,0.5032925919,0.0205743067
-1791.205309,0.462831988,0.0202822866
-1790.705357,0.5037596401,0.0217144406
-1790.2054043,0.5025191129,0.0206451981
-1789.7054529,0.452528082,0.0203290315
-1789.2054996,0.4994695299,0.0203350874
-1788.7055482,0.5097051745,0.0208011643
-1788.2055956,0.4990380185,0.021215834
-1787.7056423,0.5085594364,0.0214929163
-1787.2056909,0.5446416524,0.0222328112
-1786.7057376,0.506787339,0.0210510045
-1786.2057862,0.4728988205,0.0216470783
-1785.7058336,0.4890208817,0.0207268117
-1785.2058816,0.467624486,0.0209613229
-1784.7059295,0.4449322136,0.0200861038
-1784.2059762,0.4379571202,0.0214799778
-1783.7060242,0.4599792084,0.0207568325
-1783.2060722,0.4205979962,0.020803845
-1782.7061202,0.4831549038,0.0211707598
-1782.2061675,0.4550008134,0.0215042719
-1781.7062155,0.4779109837,0.0215687479
-1781.2062641,0.4463229432,0.0212623425
-1780.7063114,0.4499312366,0.0210478634
-1780.2063581,0.4670502058,0.0202303853
-1779.7064068,0.4728053696,0.020863146
-1779.2064541,0.4916956107,0.0211300518
-1778.7065008,0.4778874766,0.0207615663
-1778.2065494,0.4600596175,0.0209398661
-1777.7065968,0.5170416812,0.0215406918
-1777.2066447,0.52952104,0.0215029354
-1776.7066927,0.4951772433,0.0211538437
-1776.2067394,0.4568152697,0.0203676707
-1775.7067874,0.4765122255,0.0218993767
-1775.2068354,0.4670596414,0.0216569328
-1774.7068827,0.4665143281,0.0213937209
-1774.2069307,0.5645537989,0.0229102661
-1773.7069787,0.5369022005,0.0221424997
-1773.2070273,0.5177847533,0.0209886833
-1772.707074,0.5802995088,0.0224130651
-1772.2071213,0.5055060535,0.0215493642
-1769.1584121,0.5435429321,0.0220173798
-1768.6584601,0.5805834899,0.0230275455
-1768.1585081,0.5755289186,0.021849124
-1767.6585554,0.4782124816,0.0204718745
-1767.1586034,0.4695610434,0.0200967802
-1766.658652,0.4726612837,0.0210222025
-1766.1586981,0.512746088,0.0221515557
-1765.6587461,0.5931239468,0.0231655374
-1765.1587947,0.5317190649,0.022393919
-1764.658842,0.5871246685,0.0230704808
-1764.1588887,0.6168126705,0.0226807196
-1763.6589373,0.537862286,0.0220073011
-1763.1589853,0.5885290785,0.0233135709
-1762.6590327,0.5188423434,0.0211192412
-1762.15908,0.4945656507,0.0215526156
-1761.659128,0.5656095324,0.0220723862
-1761.1591753,0.6066643399,0.022943823
-1760.6592233,0.5083155958,0.0212238993
-1760.1592713,0.5114964604,0.0216449096
-1759.6593186,0.4928678568,0.021767305
-1759.1593666,0.4847153433,0.0206746363
-1758.6594152,0.4609077981,0.021084508
-1758.1594613,0.5050404915,0.0217298495
-1757.6595093,0.5268556933,0.0210156877
-1757.1595579,0.5076467516,0.0217876771
-1756.6596046,0.5287848125,0.021315185
-1756.1596532,0.5596053567,0.0218698541
-1755.6597005,0.5417959649,0.0217297108
-1755.1597485,0.5364162042,0.0220391552
-1754.6597959,0.6350882869,0.0231012282
-1754.1598432,0.6197556159,0.0225857895
-1753.6598912,0.5913635674,0.0222196652
-1753.1599385,0.6066083908,0.0227831917
-1752.6599865,0.570645151,0.0223291623
-1752.1600345,0.5091735749,0.021356631
-1751.6600818,0.5018543693,0.0213361006
-1751.1601298,0.4899827064,0.0208610017
-1750.6601778,0.4870408579,0.0202248751
-1750.1602245,0.5622748598,0.0222238156
-1749.6602725,0.4953664814,0.0206183164
-1749.1603204,0.475983887,0.020889055
-1748.6603678,0.4670547184,0.0212102068
-1748.1604164,0.4976521674,0.0221186414
-1747.6604631,0.4876855516,0.0209605587
-1747.1605117,0.5023853878,0.0203520474
-1746.660559,0.5622022637,0.0218015447
-1746.1606058,0.4930189686,0.0206827497
-1745.6606544,0.497978804,0.0211688792
-1745.1607017,0.471711086,0.020100142
-1744.6607497,0.4863581396,0.0204450754
-1744.1607977,0.4773945126,0.0206294833
